,z,y,x,x_um,y_um,z_um
37,13,75,281,51.487939100000006,13.7423325,2.8623634
38,13,75,354,64.86380940000001,13.7423325,2.8623634
39,13,78,352,64.49734720000001,14.292025800000001,2.8623634
40,13,102,251,45.9910061,18.6895722,2.8623634
41,13,104,367,67.2458137,19.0560344,2.8623634
42,13,108,177,32.431904700000004,19.7889588,2.8623634
43,13,169,301,55.1525611,30.9660559,2.8623634
44,14,64,258,47.2736238,11.7267904,3.0825452
45,14,71,364,66.6961204,13.0094081,3.0825452
46,14,89,191,34.9971401,16.307567900000002,3.0825452
47,14,112,231,42.3263841,20.5218832,3.0825452
48,14,118,335,61.3824185,21.6212698,3.0825452
49,14,124,369,67.6122759,22.7206564,3.0825452
50,14,128,375,68.7116625,23.4535808,3.0825452
51,14,138,158,28.9505138,25.2858918,3.0825452
52,14,138,320,58.633952,25.2858918,3.0825452
53,14,139,306,56.0687166,25.469122900000002,3.0825452
54,15,67,246,45.074850600000005,12.2764837,3.302727
55,15,74,361,66.1464271,13.559101400000001,3.302727
56,15,125,342,62.6650362,22.9038875,3.302727
57,15,144,372,68.1619692,26.3852784,3.302727
